pert_iname,clinical_phase,moa,target,mechanism_family,exclusion_reason,exclusion_match,excluded_because
nocodazole,Preclinical,tubulin polymerization inhibitor,HPGDS,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
nolatrexed,Phase 3,thymidylate synthase inhibitor,TYMS,metabolic,broad cytotoxic chemotherapeutic,thymidylate synthase,hard exclusion: broad cytotoxic chemotherapeutic
nomegestrol-acetate,Launched,progesterone receptor agonist,PGR,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
norelgestromin,Launched,,PGR,other / unclassified,systemic sex-steroid manipulation,PGR,hard exclusion: systemic sex-steroid manipulation
norethindrone,Launched,progesterone receptor agonist,PGR,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
norethindrone-acetate,Launched,progesterone receptor agonist,PGR,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
noretynodrel,Launched,progestogen hormone,PGR,other / unclassified,systemic sex-steroid manipulation,PGR,hard exclusion: systemic sex-steroid manipulation
norfloxacin,Launched,bacterial DNA gyrase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,TOP2A,hard exclusion: broad cytotoxic chemotherapeutic
norgestimate,Launched,progesterone receptor agonist,ESR1|PGR,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
norgestrel,Launched,progesterone receptor agonist,AR|ESR1|PGR|SRD5A1,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
norvancomycin,Preclinical,,,other / unclassified,,,no annotated mechanism of action
noscapine,Launched,bradykinin receptor antagonist|tubulin polymerization inhibitor,SIGMAR1,GPCR; mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
NOV-002,Phase 3,,GSR,other / unclassified,,,no annotated mechanism of action
NS-1643,Preclinical,voltage-gated potassium channel activator,KCNH2|KCNH6|KCNMA1,ion channel,,,no orderable sample (no SMILES or catalogue number)
NS-3623,Preclinical,voltage-gated potassium channel activator,KCNH2,ion channel,,,no orderable sample (no SMILES or catalogue number)
NVP-BGJ398,Phase 3,FGFR inhibitor,FGFR1|FGFR2|FGFR3|FGFR4|KDR,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,KDR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
N6-methyladenosine,Preclinical,,,other / unclassified,,,no annotated mechanism of action
O-acetyl-L-serine,Preclinical,,PTGS1,other / unclassified,,,no annotated mechanism of action
o-mercapto-benzoic-acid,Preclinical,,,other / unclassified,,,no annotated mechanism of action
octadecan-1-ol,Preclinical,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
octamethyltrisiloxane,Preclinical,,,other / unclassified,,,no annotated mechanism of action
octinoxate,Launched,,,other / unclassified,,,no annotated mechanism of action
octisalate,Launched,,,other / unclassified,,,no annotated mechanism of action
octocrylene,Launched,,,other / unclassified,,,no annotated mechanism of action
oleuropein,Phase 2,estrogen receptor agonist,GPER1,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
olomoucine,Preclinical,CDK inhibitor,CDK1|CDK2|CDK5|MAPK1,kinase,known to suppress chondrocyte proliferation,CDK1,hard exclusion: known to suppress chondrocyte proliferation
ombrabulin,Phase 3,tubulin polymerization inhibitor,,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
omega-(4-iodophenyl)pentadecanoic-acid,Preclinical,,,other / unclassified,,,no annotated mechanism of action
ONX-0914,Preclinical,proteasome inhibitor,,other / unclassified,proteasome inhibitor,proteasome,hard exclusion: proteasome inhibitor
oprozomib,Phase 1/Phase 2,proteasome inhibitor,,other / unclassified,proteasome inhibitor,proteasome,hard exclusion: proteasome inhibitor
orantinib,Phase 3,FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,AURKA|AURKB|EGFR|FGFR1|FGFR2|KDR|PDGFRA|PDGFRB,kinase; growth factor / cytokine,Aurora inhibitor,AURKA; AURKB,hard exclusion: Aurora inhibitor
ormeloxifene,Launched,selective estrogen receptor modulator (SERM),,other / unclassified,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
orotic-acid,Phase 2,,DHODH,other / unclassified,,,no annotated mechanism of action
orteronel,Phase 3,androgen biosynthesis inhibitor|androgen receptor antagonist|cytochrome P450 inhibitor,CYP17A1,GPCR,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
OSI-930,Phase 1,KIT inhibitor|VEGFR inhibitor,FLT1|KDR|KIT,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
ospemifene,Launched,selective estrogen receptor modulator (SERM),ESR1|ESR2,other / unclassified,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
ostarine,Phase 3,androgen receptor modulator,AR,other / unclassified,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
ouabain,Launched,ATPase inhibitor,ATP1A1,other / unclassified,narrow-therapeutic-index cardiac glycoside,ATP1A1,hard exclusion: narrow-therapeutic-index cardiac glycoside
oxaloacetate,Phase 2/Phase 3,glutamate release inhibitor,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
oxibendazole,Launched,tubulin polymerization inhibitor,TUBB|TUBB4B,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
oxiniacic-acid,Preclinical,,,other / unclassified,,,no annotated mechanism of action
oxyclozanide,Launched,,,other / unclassified,,,no annotated mechanism of action
oxymatrine,Launched,,,other / unclassified,,,no annotated mechanism of action
p-dimethylinamyl-benzoate,Preclinical,,,other / unclassified,,,no annotated mechanism of action
paclitaxel,Launched,tubulin polymerization inhibitor,BCL2|MAP2|MAP4|MAPT|NR1I2|TLR4|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
PACOCF3,Preclinical,phospholipase inhibitor,PLA2G4A,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
pafuramidine,Phase 3,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
palifosfamide,Phase 3,DNA alkylating agent,,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
palmitoleic-acid,Preclinical,,,other / unclassified,,,no annotated mechanism of action
palovarotene,Phase 3,retinoid receptor agonist,RARG,GPCR,known plate-fusion or premature-remodeling hazard,RARG,hard exclusion: known plate-fusion or premature-remodeling hazard
pamabrom,Launched,diuretic,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
pamidronate,Launched,bone resorption inhibitor,FDPS,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
para-toluenesulfonamide,Phase 3,,CA12|CA2|CA6|CA9,other / unclassified,,,no annotated mechanism of action
parbendazole,Preclinical,tubulin polymerization inhibitor,TUBB,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
paroxypropione,Launched,gonadotropin inhibitor,,other / unclassified,systemic sex-steroid manipulation,gonadotropin,hard exclusion: systemic sex-steroid manipulation
pazopanib,Launched,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1R|FGF1|FGFR1|FGFR3|FLT1|FLT4|ITK|KDR|KIT|PDGFRA|PDGFRB|SH2B3,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
pazufloxacin,Launched,topoisomerase inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
PD-153035,Phase 1,EGFR inhibitor,EGFR|KDR,other / unclassified,anti-angiogenic with juvenile growth-plate toxicity,KDR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
PD-173074,Preclinical,FGFR inhibitor|VEGFR inhibitor,FGFR1|FGFR2|FGFR3|FGFR4|FLT1|FLT4|KDR|PDGFRA|PDGFRB,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
PD-98059,Preclinical,MEK inhibitor,AKT1|CHEK1|GSK3B|LCK|MAP2K1|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|RAF1|ROCK1|RPS6KB1|SGK1,kinase,GSK3 inhibition,GSK3B,hard exclusion: GSK3 inhibition
pefloxacin,Launched,bacterial DNA gyrase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,TOP2A,hard exclusion: broad cytotoxic chemotherapeutic
pemetrexed,Launched,dihydrofolate reductase inhibitor|thymidylate synthase inhibitor,ATIC|DHFR|GART|TYMS,metabolic,broad cytotoxic chemotherapeutic,thymidylate synthase,hard exclusion: broad cytotoxic chemotherapeutic
penicillamine-(D),Launched,chelating agent,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
penicillamine-(racemic),Launched,,,other / unclassified,,,no annotated mechanism of action
pentacosanoic-acid,Preclinical,,,other / unclassified,,,no annotated mechanism of action
pentostatin,Launched,adenosine deaminase inhibitor|ribonucleotide reductase inhibitor,ADA,metabolic,broad cytotoxic chemotherapeutic,ribonucleotide reductase,hard exclusion: broad cytotoxic chemotherapeutic
perchlozone,Launched,,,other / unclassified,,,no annotated mechanism of action
perfluamine,Launched,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
perflubron,Launched,contrast agent,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
perfluorodecalin,Launched,,,other / unclassified,,,no annotated mechanism of action
perfluorohexyloctane,Launched,,,other / unclassified,,,no annotated mechanism of action
perillyl-alcohol,Phase 2,apoptosis stimulant|farnesyltransferase inhibitor,FNTA,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
permethrin,Launched,,,other / unclassified,,,no annotated mechanism of action
peruvoside,Phase 1,cardiac glycoside,,other / unclassified,narrow-therapeutic-index cardiac glycoside,cardiac glycoside,hard exclusion: narrow-therapeutic-index cardiac glycoside
PF-02413873,Phase 1,progesterone receptor antagonist,,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
PF-03814735,Phase 1,Aurora kinase inhibitor,AURKA|AURKB,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
PF-06260414,Phase 1,androgen receptor modulator,,other / unclassified,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
PF-573228,Preclinical,focal adhesion kinase inhibitor,CDK1|CDK2|CDK7|GSK3B|IKBKB,kinase,GSK3 inhibition,GSK3B,hard exclusion: GSK3 inhibition
PF-915275,Phase 1,11-beta hydroxysteroid dehydrogenase inhibitor,HSD11B1,metabolic,systemic glucocorticoid manipulation,HSD11B1,hard exclusion: systemic glucocorticoid manipulation
PHA-680632,Preclinical,Aurora kinase inhibitor,AURKA|AURKB|AURKC,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
PHA-767491,Preclinical,CDC inhibitor,CDK1|RPS6KB1,other / unclassified,known to suppress chondrocyte proliferation,CDK1,hard exclusion: known to suppress chondrocyte proliferation
PHA-793887,Phase 1,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CDK7|CDK9,kinase,known to suppress chondrocyte proliferation,CDK1,hard exclusion: known to suppress chondrocyte proliferation
phenol,Preclinical,,CA1|CA12|CA14|CA2|CA4|CA9,other / unclassified,,,no annotated mechanism of action
phenolsulfonphthalein,Launched,,,other / unclassified,,,no annotated mechanism of action
phenothrin,Launched,,,other / unclassified,,,no annotated mechanism of action
phenyl-aminosalicylate,Launched,,,other / unclassified,,,no annotated mechanism of action
phenylacetylglutamine,Phase 2,DNA methylase inhibitor|protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
phenylbenzimidazole-sulfonic-acid,Launched,,,other / unclassified,,,no annotated mechanism of action
phenylethyl-alcohol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
phenylmercuric-acetate,Preclinical,other antifungal,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
phenylmethylsulfonyl-fluoride,Preclinical,serine protease inhibitor,,protease,,,no orderable sample (no SMILES or catalogue number)
phloroglucin,Launched,,,other / unclassified,,,no annotated mechanism of action
phosphatidylcholine,Launched,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
phthalylsulfacetamide,Preclinical,,,other / unclassified,,,no annotated mechanism of action
PHTPP,Preclinical,estrogen receptor antagonist,ESR2,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
phytonadione,Launched,,BGLAP|GGCX,other / unclassified,,,no annotated mechanism of action
phytosphingosine,Phase 1,,,other / unclassified,,,no annotated mechanism of action
picolamine,Preclinical,,,other / unclassified,,,no annotated mechanism of action
piconol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
pidolic-acid,Launched,,ADAM28|AMY1A|AMY2A|AMY2B|ANG|CCL8|HCRT|IGLC1|KRTAP5-2|TFF2|VEGFA,growth factor / cytokine,,,no annotated mechanism of action
pikamilone,Phase 1,,,other / unclassified,,,no annotated mechanism of action
pimonidazole,Phase 3,,,other / unclassified,,,no annotated mechanism of action
pinanediol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
pipemidic-acid,Launched,topoisomerase inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
piperazinedione,Phase 2,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
pipobroman,Launched,DNA alkylating agent,,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
pirarubicin,Launched,topoisomerase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
piretanide,Launched,glucocorticoid receptor agonist,SLC12A1|SLC12A2,GPCR; transporter,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
piroctone-olamine,Launched,,,other / unclassified,,,no annotated mechanism of action
pirodavir,Phase 2,,,other / unclassified,,,no annotated mechanism of action
pixantrone,Launched,topoisomerase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
pleconaril,Phase 3,,,other / unclassified,,,no annotated mechanism of action
plinabulin,Phase 3,tubulin polymerization inhibitor,,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
plovamer-acetate,Phase 2,,TAT|TH|YARS|YARS2,other / unclassified,,,no annotated mechanism of action
PLX4720,Preclinical,RAF inhibitor,BRAF|KDR,kinase,anti-angiogenic with juvenile growth-plate toxicity,KDR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
PMPA,Preclinical,glutamate receptor antagonist,FOLH1,GPCR,,,no orderable sample (no SMILES or catalogue number)
podophyllotoxin,Launched,microtubule inhibitor|tubulin polymerization inhibitor,IGF1R|TOP2A|TUBA4A|TUBB,mechanotransduction; growth factor / cytokine,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
pomalidomide,Launched,angiogenesis inhibitor|tumor necrosis factor production inhibitor,,other / unclassified,anti-angiogenic with juvenile growth-plate toxicity,angiogenesis inhibitor,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
ponatinib,Launched,Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor,ABL1|BCR|FGFR1|FGFR2|FGFR3|FGFR4|FLT3|KDR|KIT|LCK|LYN|PDGFRA|RET|SRC|TEK,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,KDR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
potassium-iodide,Launched,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
potassium-p-aminobenzoate,Launched,,,other / unclassified,,,no annotated mechanism of action
