accession	n_samples	taxon	n_age_tokens	age_tokens	title	summary
GSE306550	13	Equus caballus	0		Characterising the effect of age and sex on post-transcriptional regulation in synovial joint tissues	We investigated how age and sex affected mRNA kinetics in chondrocytes isolated from young female and male horses, as well as from older females. We chose to focus on this cell type due to its critical role in articular cartilage maintenance and to the relative ease of isolating appropriate cell numbers from equine metacarpophalangeal joint to permit prompt analysis and avoid cell dedifferentiation. Chondrocytes plated at high density were analysed with SLAM-Seq, which uses the chemical conversion of 4-thiouridine (4sU) labelled RNA, allowing for the detection of newly synthesised and pre-exis
GSE306640	10	Mus musculus	0		Disruption of the Fgfr1-Fgf23-Phosphate Axis and Targeted Therapy in a Murine Model of Osteoglophonic Dysplasia	Osteoglophonic Dysplasia (OGD) is an autosomal dominant skeletal dysplasia characterized by impaired bone growth resulting in short stature, severe craniofacial abnormalities, and in some patients FGF23-mediated hypophosphatemia. It is caused by gain-of-function variants in FGFR1, particularly in or near the transmembrane domain of the receptor. We used CRISPR to knock-in the Fgfr1 p.N330I variant in mice, chosen based on its association with FGF23 excess. Skeletal phenotyping of this Fgfr1+/N330I model demonstrated markedly small body weight, nasoanal length, shortened long bones, and cranios
GSE306729	9	Homo sapiens	0		Urine stem cells as a bona fide model to study cartilage associated disease [RNA-Seq]	Non-invasive cellular models for genetic growth disorders affecting cartilage and bone remain rare, hampering mechanistic studies and the development of personalized therapies. Here, we present urine-derived stem cells (USCs), as a robust in vitro system for human chondrogenesis. Single-cell RNA sequencing of undifferentiated USCs revealed distinct clusters, of which a subset had high stem cell character. After differentiation, USCs underwent osteogenic and chondrogenic lineage with positive marker expression, confirmed by bulk-RNA-Seq. Single cell transcriptomic comparisons with healthy carti
GSE307232	2	Homo sapiens	0		Urine stem cells as a bona fide model to study cartilage associated disease	Non-invasive cellular models for genetic growth disorders affecting cartilage and bone remain rare, hampering mechanistic studies and the development of personalized therapies. Here, we present urine-derived stem cells (USCs), as a robust in vitro system for human chondrogenesis. Single-cell RNA sequencing of undifferentiated USCs revealed distinct clusters, of which a subset had high stem cell character. After differentiation, USCs underwent osteogenic and chondrogenic lineage with positive marker expression, confirmed by bulk-RNA-Seq. Single cell transcriptomic comparisons with healthy carti
GSE308025	12	Rattus norvegicus	0		Efficacy and potential mechanisms of Yi-Ping Lin Circum-knee acupuncture in the treatment of knee osteoarthritis	Background: Degenerative knee osteoarthritis (KOA) may lead to disability in adults. Current treatment modalities for KOA often involve significant side effects and high costs. Yi-Ping Lin Circum-knee Acupuncture (CKA-L) emerged as a cost-effective and nearly side-effect-free alternative. However, its efficacy and the underlying mechanisms remain unclear, which raised our concern. Methods: Female SD rats were randomly divided into 4 groups: Sham, Model, CKA-L treatment (Treatment), and positive control (Piroxicam). The Arthritis Index (AI) and body weights were recorded. ELISA was used to quan
GSE310264	9	Homo sapiens	0		Kaempferol Attenuates Spaceflight-associated Knee Cartilage Degeneration by Targeting NOX4-Mediated Mitochondrial Dysfunction	Microgravity and space radiation experienced during spaceflight have negative effects on musculoskeletal health, yet their impact on articular cartilage remains poorly understood. In this study, we demonstrated that simulated spaceflight on Earth leads to cartilage degeneration in the knees of mice. Similar changes were also observed in mice exposed to actual space flight. To investigate the mechanisms behind spaceflight-associated cartilage loss, human chondrocytes were encapsulated within a hydrogel scaffold and then subjected to rotary culture to mimic the alterations caused by microgravity
GSE311084	6	Homo sapiens	0		Single-cell RNA sequencing reveals chondrocyte heterogeneity and fibrocartilage transition in osteonecrosis of the femoral head	This study investigates the role of chondrocyte heterogeneity in osteonecrosis of the femoral head (ONFH) through single-cell RNA sequencing of 50,851 chondrocytes from 10 ONFH patients and 10 controls.
GSE311180	21	Homo sapiens	0		Integrated Transcriptomic and Functional Analysis Reveals Tissue-Specific Molecular Pathology in Adolescent Idiopathic Scoliosis	Adolescent idiopathic scoliosis (AIS), the spontaneous development of a lateral spine curvature during puberty, is the most common pediatric spine disorder, affecting ~3% of children worldwide. As the underlying etiology remains unclear, AIS is treated purely symptomatically, initially by bracing and ultimately by highly invasive, costly surgeries.  Genome-wide association studies (GWAS) have identified numerous risk loci, but most are in non-coding regions, making it difficult to link them to a biological function. To address this, we performed a multi-tissue investigation to connect genetic 
GSE311894	6	Homo sapiens	0		Effects of Selenium-mediated RUNX2 Overexpression and its Transcriptome Alterations on Chondrocyte Injury in Kashin Beck disease	Runt-related transcription factor 2 (RUNX2) is a key regulator of chondrocyte differentiation and apoptosis. To investigate the downstream molecular mechanisms of RUNX2 in chondrocyte injury, we established a RUNX2 overexpression model using lentiviral transfection in human chondrocytes. Total RNA was extracted from RUNX2-overexpressing and control chondrocytes and subjected to RNA sequencing. Differential expression analysis identified 263 upregulated and 216 downregulated genes in RUNX2-overexpressing cells compared with controls. Functional enrichment analysis revealed that these genes were
GSE316124	20	Mus musculus	0		Mutant FGFR3 restricts bone yet expands brain via ERK-mediated self-repression	FGFR3 gain-of-function mutations cause achondroplasia, the most common form of dwarfism, yet trigger paradoxical cerebral overgrowth and skeletal stunting. Here， we demonstrate that mutant FGFR3 drives enhanced ERK activation, which then represses Fgfr3 expression and downregulates ERK signaling. In the developing cortex, this mechanism transiently expands cortical stem cells by activating ERK, then shifts signaling to downregulate Fgfr3/ERK/PKA and enhance YAP/TAZ, promoting premature ependymal maturation and cerebral overgrowth. In growing bones, mutant Fgfr3 first elevates ERK to inhibit ch
GSE317068	32	Homo sapiens	0		Multiscale analysis and functional validation of the cellular and genetic determinants of skeletal disease [Human scRNA-seq]	Musculoskeletal diseases are a major health burden. Development of bone-active therapies has been hindered by limited understanding of the cells and genes that regulate the skeleton. We exploited the value of cross-species analysis and developed single-cell methodologies in skeletal tissues to define the critical endosteal compartment that regulates bone turnover. Thirty-four distinct cell types were identified, and disease-relevant cells prioritised by enrichment for rare skeletal disorder genes and bone mineral density-associated genes in an extended UK Biobank GWAS.  Functional validation w
GSE317588	6	Homo sapiens	0		Decoding transcriptional, metabolic and cell death signatures in osteoarthritis and endemic osteoarthritis at single-cell resolution	The molecular differences between osteoarthritis (OA) and endemic OA (Kashin-Beck disease, KBD), have been investigated at bulk-level, inherently masking cellular heterogeneity and critical discriminative markers.We conducted single-cell RNA sequencing (scRNA-seq) on a total of 139,943 chondrocytes isolated from 17 human cartilage samples, including 3 healthy controls, 8 patients with OA, and 6 patients with KBD. Chondrocyte populations were identified and compared. Differentially expressed gene, functional enrichment, metabolic activity, and cell death signature analyses were performed, with 
GSE317855	2	Rattus norvegicus	0		Multi-functional Small Molecule for Regenerative Healing of Avascular Meniscus Tears: Modulation of Inflammation, Differentiation, and Multi-Tissue Crosstalk	Avascular meniscus tears are a major contributor to mechanical joint locking, compromised gait and function, and the initiation and progression of post-traumatic osteoarthritis. Unfortunately, the avascular meniscus tears hardly heal. Here, we report a novel small molecule, 4-PPBP, a sigma-1 receptor (σ1R) agonist, exhibiting significant potential to promote avascular meniscus healing by activating synovial mesenchymal stem cells (syMSCs) and modulating macrophage-regulated inflammation via multi-tissue crosstalk. In vivo, a single injection of 4-PPBP-loaded bioglue minimized meniscal gapping,
